question,answer,qA
"#Q The Army Corps of Polish general Franciszek Kleeberg, that was named Samodzielna Grupa Operacyjna Polesie, capitulated after the Battle of Kock. What is the exact date of this event?
","6 October, 1939","['#Q The Army Corps of Polish general Franciszek Kleeberg, that was named Samodzielna Grupa Operacyjna Polesie, capitulated after the Battle of Kock. What is the exact date of this event?\n'
 '^ 6 October, 1939\n' 'A 6 November, 1940\n' 'B 6 October, 1939\n'
 'C 16 October, 1939\n' 'D 26 October, 1941\n']"
"#Q In 1943, General Friedrich Paulus was in charge of the German forces in which area?
",Caucasus,"['#Q In 1943, General Friedrich Paulus was in charge of the German forces in which area?\n'
 '^ Caucasus\n' 'A Egypt\n' 'B Caucasus\n' 'C the Netherlands\n'
 'D Paris\n']"
"#Q US General Patton, leader of the Third Army was famous for which of the following?
",his reckless sense of humour,"['#Q US General Patton, leader of the Third Army was famous for which of the following?\n'
 '^ his reckless sense of humour\n' 'A his battle diaries\n'
 'B his peevish temper\n' 'C his war journals\n'
 'D his reckless sense of humour\n']"
"#Q Which of the following combinations (astronaut - spacecraft - launch date - landing site) correctly presents the voyage of the first man to travel in space?
",Yuri Gagarin - Vostok 1 - 1961 - Kazakhstan,"['#Q Which of the following combinations (astronaut - spacecraft - launch date - landing site) correctly presents the voyage of the first man to travel in space?\n'
 '^ Yuri Gagarin - Vostok 1 - 1961 - Kazakhstan\n'
 'A Yuri Gagarin - Vostok 6 - 1961 - Karaganda region\n'
 'B Gherman Titov - Vostok 1 - 1962 - Karaganda region\n'
 'C Yuri Gagarin - Vostok 1 - 1961 - Kazakhstan\n'
 'D Gherman Titov - Vostok 6 - 1962 - Kazakhstan\n']"
"#Q Valentina Tereshkova was the first woman to fly in space. Her mission took place on June 16, 1963. How long was her flight?
","2 days, 22 hours, 50 minutes","['#Q Valentina Tereshkova was the first woman to fly in space. Her mission took place on June 16, 1963. How long was her flight?\n'
 '^ 2 days, 22 hours, 50 minutes\n' 'A 3 days, 11 hours, 50 minutes\n'
 'B 4 days, 22 hours, 10 minutes\n' 'C 1 days, 22 hours, 50 minutes\n'
 'D 2 days, 22 hours, 50 minutes\n']"
"#Q The  first space tourist was this businessman.
",Dennis Tito,"['#Q The  first space tourist was this businessman.\n' '^ Dennis Tito\n'
 'A Toyohiro Akiyama\n' 'B Mark Shuttleworth\n' 'C Dennis Tito\n'
 'D Lance Bass\n']"
"#Q The first animal launched into space was one of these.
",Mouse,"['#Q The first animal launched into space was one of these.\n' '^ Mouse\n'
 'A Monkey\n' 'B Mouse\n' 'C Guinea pig\n' 'D Dog\n']"
"#Q How many miles represent a light year?
",Nearly six trillion,"['#Q How many miles represent a light year?\n' '^ Nearly six trillion\n'
 'A Nearly six trillion\n' 'B Nearly six million\n'
 'C Nearly two trillion\n' 'D Nearly two million\n']"
"#Q The roots of the word knight are connected to cniht, an Old English word meaning this.
",Page boy,"['#Q The roots of the word knight are connected to cniht, an Old English word meaning this.\n'
 '^ Page boy\n' 'A Hangman\n' 'B Stable-lad\n' 'C Page boy\n'
 'D Prison-breaker\n']"
"#Q Name the tax, which knights had to pay in order to avoid going to war.
",The tax of scutage,"['#Q Name the tax, which knights had to pay in order to avoid going to war.\n'
 '^ The tax of scutage\n' 'A The tax of scutage\n' 'B The tax of war\n'
 'C The tax of freedom\n' 'D The tax of chivalry\n']"
"#Q Pas dArmes was a tournament, in which knights were dared to fight.  If knights refused to fight, they had to leave this behind as a sign of humiliation.
",Spurs,"['#Q Pas dArmes was a tournament, in which knights were dared to fight.  If knights refused to fight, they had to leave this behind as a sign of humiliation.\n'
 '^ Spurs\n' 'A Spurs\n' 'B Helmet\n' 'C Clothes\n' 'D Horse\n']"
"#Q Originally, any knight could bestow knighthood on a man.
",True,"['#Q Originally, any knight could bestow knighthood on a man.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Don Quixote de la Mancha is a fictional knight from the self-titled novel, written by this author.\n']"
"#Q Don Quixote de la Mancha is a fictional knight from the self-titled novel, written by this author.
",Miguel de Cervantes,"['#Q Don Quixote de la Mancha is a fictional knight from the self-titled novel, written by this author.\n'
 '^ Miguel de Cervantes\n' 'A Dante Alighieri\n'
 'B Giuseppe Tomasi di Lampedusa\n' 'C Arthur Conan Doyle\n'
 'D Miguel de Cervantes\n']"
"#Q Ritter is a title similar to that of a Knight, used in this country.
",Germany,"['#Q Ritter is a title similar to that of a Knight, used in this country.\n'
 '^ Germany\n' 'A Poland\n' 'B Germany\n' 'C Bulgaria\n' 'D France\n']"
"#Q By the end of the 13th century, knights were required to swear allegiance.
",True,"['#Q By the end of the 13th century, knights were required to swear allegiance.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q The legends of King Arthur and the Round Table are some of the most famous tales about knights. Who was the head of the table?\n']"
"#Q The legends of King Arthur and the Round Table are some of the most famous tales about knights. Who was the head of the table?
",Nobody,"['#Q The legends of King Arthur and the Round Table are some of the most famous tales about knights. Who was the head of the table?\n'
 '^ Nobody\n' 'A Lancelot\n' 'B Nobody\n' 'C Merlin\n' 'D Arthur\n']"
"#Q In order to become a knight nowadays, you would have to be given the title in royal recognition, or to belong to an order. In the UK the knight is styled Sir and the female -- this.
",Dame,"['#Q In order to become a knight nowadays, you would have to be given the title in royal recognition, or to belong to an order. In the UK the knight is styled Sir and the female -- this.\n'
 '^ Dame\n' 'A Dame\n' 'B Lady\n' 'C Knightess\n' 'D Baroness\n']"
"#Q What was the French governmental structure until the French Revolution?
",Absolute monarchy,"['#Q What was the French governmental structure until the French Revolution?\n'
 '^ Absolute monarchy\n' 'A Dictatorship\n' 'B Constitutional monarchy\n'
 'C Absolute monarchy\n' 'D Republic\n']"
"#Q In the Crimean War, France, the United Kingdom, the Kingdom of Sardinia, and the Ottoman Empire fought against what country?
",Imperial Russia,"['#Q In the Crimean War, France, the United Kingdom, the Kingdom of Sardinia, and the Ottoman Empire fought against what country?\n'
 '^ Imperial Russia\n' 'A Kingdom of Prussia\n' 'B Hapsburg Empire\n'
 'C Kingdom of Italy\n' 'D Imperial Russia\n']"
"#Q What term refers to the competition between Britain, France and Germany over African territory between the 1880s and the beginning of World War I in 1914?
",The Scramble for Africa,"['#Q What term refers to the competition between Britain, France and Germany over African territory between the 1880s and the beginning of World War I in 1914?\n'
 '^ The Scramble for Africa\n' 'A The African War\n'
 'B Franco-Prussian War\n' 'C The Scramble for Africa\n'
 'D New Imperialism\n']"
"#Q What state succeeded the Austrian Empire in 1867?
",Austria-Hungary,"['#Q What state succeeded the Austrian Empire in 1867?\n'
 '^ Austria-Hungary\n' 'A Austria-Hungary\n' 'B German Confederation\n'
 'C Archduchy of Austria\n' 'D First Austrian Republic\n']"
"#Q Who was the first wife of Napol̩on Bonaparte and the first Empress of the French?
",Jos̩phine de Beauharnais,"['#Q Who was the first wife of Napol̩on Bonaparte and the first Empress of the French?\n'
 '^ Jos̩phine de Beauharnais\n' 'A Marie Louise of Austria\n'
 'B Louise Catherine El̩onore Denuelle de la Plaigne\n'
 'C Jos̩phine de Beauharnais\n' 'D Marie, Countess Walewski\n']"
"#Q Where was Napoleon finally defeated on June 18, 1815?
",Waterloo,"['#Q Where was Napoleon finally defeated on June 18, 1815?\n'
 '^ Waterloo\n' 'A Aspern-Essling\n' 'B Waterloo\n' 'C Niemen River\n'
 'D Moscow\n']"
"#Q The First Word War began after the assassination of what European royal heir?
",Archduke Franz Ferdinand of Austria,"['#Q The First Word War began after the assassination of what European royal heir?\n'
 '^ Archduke Franz Ferdinand of Austria\n'
 'A Archduke Karl Ludwig of Austria\n'
 'B Archduke Franz Ferdinand of Austria\n'
 'C Maximilian, Duke of Hohenberg,\n' 'D Prince Ernst von Hohenberg\n']"
"#Q Name the last Tsar of Russia, who abdicated after the February Revolution of 1917.
",Nicholas II of Russia,"['#Q Name the last Tsar of Russia, who abdicated after the February Revolution of 1917.\n'
 '^ Nicholas II of Russia\n' 'A Alexander III of Russia\n'
 'B Nicholas II of Russia\n' 'C Nicholas I\n' 'D Alexander I\n']"
"#Q This organization, established in Paris, 1951, was the predecessor of the European Union.
",European Coal and Steel Community,"['#Q This organization, established in Paris, 1951, was the predecessor of the European Union.\n'
 '^ European Coal and Steel Community\n' 'A European Economic Community\n'
 'B European Atomic Energy Community\n' 'C European Defence Community\n'
 'D European Coal and Steel Community\n']"
"#Q The Treaty on European Union, that proclaims the creation of the European Union, was signed on February 7, 1992 in this city.
",Maastricht,"['#Q The Treaty on European Union, that proclaims the creation of the European Union, was signed on February 7, 1992 in this city.\n'
 '^ Maastricht\n' 'A Belfast\n' 'B Geneva\n' 'C Paris\n' 'D Maastricht\n']"
"#Q Men were first to wear jewels.  They considered them to be this.
",Amulets,"['#Q Men were first to wear jewels.  They considered them to be this.\n'
 '^ Amulets\n' 'A A part of their uniform\n' 'B Barometers\n'
 'C Objects of womens desire\n' 'D Amulets\n']"
"#Q The tradition of engagement rings was started by Maximilian of Austria. He gave one such ring to her.
",Mary of Burgundy,"['#Q The tradition of engagement rings was started by Maximilian of Austria. He gave one such ring to her.\n'
 '^ Mary of Burgundy\n' 'A Mary Queen of Scots\n' 'B Bloody Mary\n'
 'C Marie-Antoinette\n' 'D Mary of Burgundy\n']"
"#Q This type of pattern is common in traditional Chinese womens clothing.
",Peony,"['#Q This type of pattern is common in traditional Chinese womens clothing.\n'
 '^ Peony\n' 'A Horse\n' 'B Peony\n' 'C Rose\n' 'D Star\n']"
"#Q She popularized the mini.
",Mary Quant,"['#Q She popularized the mini.\n' '^ Mary Quant\n' 'A Marilyn Monroe\n'
 'B Twiggy\n' 'C Mary Quant\n' 'D Marie Brizzard\n']"
"#Q This type of female figure was fashionable in the 20s.
",Masculine,"['#Q This type of female figure was fashionable in the 20s.\n'
 '^ Masculine\n' 'A Voluptuous\n' 'B Coca-cola\n' 'C Masculine\n'
 'D Nude\n']"
"#Q The Marcel Wave is one of these.
",A hair style,"['#Q The Marcel Wave is one of these.\n' '^ A hair style\n'
 'A A fashionable way to shake you head\n' 'B A hair style\n'
 'C A way to fold your skirt\n' 'D A type of hat\n']"
"#Q This is a kind of body adornment that Indian women use. It became popular in many countries after Madonna adopted it.
",Bindi,"['#Q This is a kind of body adornment that Indian women use. It became popular in many countries after Madonna adopted it.\n'
 '^ Bindi\n' 'A Bindi\n' 'B Tattoo\n' 'C Eyebrow shaping\n'
 'D Skin jeweller\n']"
"#Q He created Chanel No. 5 for Coco Chanel.
",Ernest Beaux,"['#Q He created Chanel No. 5 for Coco Chanel.\n' '^ Ernest Beaux\n'
 'A Ernest Beaux\n' 'B Ralph Lauren\n' 'C Yves Saint Laurent\n'
 'D Jean Patou\n']"
"#Q The first traces of womens underwear were found on this island.
",Crete,"['#Q The first traces of womens underwear were found on this island.\n'
 '^ Crete\n' 'A Australia\n' 'B Wales\n' 'C Madagascar\n' 'D Crete\n']"
"#Q The first bra was announced in this fashion magazine.
",Vogue,"['#Q The first bra was announced in this fashion magazine.\n' '^ Vogue\n'
 'A Vogue\n' 'B Glamour\n' 'C Marie Claire\n' 'D Elle\n']"
"#Q What city became the capital after the unification of Germany in 1990?
",Berlin,"['#Q What city became the capital after the unification of Germany in 1990?\n'
 '^ Berlin\n' 'A Bonn\n' 'B Berlin\n' 'C Bremen\n' 'D Dresden\n']"
"#Q In 1990 the new NC-17 replaced the X movie rating. What does NC stand for?
",No Children,"['#Q In 1990 the new NC-17 replaced the X movie rating. What does NC stand for?\n'
 '^ No Children\n' 'A Need Consideration\n' 'B Non Conforming\n'
 'C No Children\n' 'D Need Confirmation\n']"
"#Q What nation, subject of the 1994 Operation Uphold Democracy, is the only nation whose independence was gained as part of a successful slave rebellion?
",Haiti,"['#Q What nation, subject of the 1994 Operation Uphold Democracy, is the only nation whose independence was gained as part of a successful slave rebellion?\n'
 '^ Haiti\n' 'A Haiti\n' 'B Gabon\n' 'C Barbados\n' 'D Nigeria\n']"
"#Q In 1996 President Clinton was re-elected as the first two-term Democrat since what former US President?
",Franklin Roosevelt,"['#Q In 1996 President Clinton was re-elected as the first two-term Democrat since what former US President?\n'
 '^ Franklin Roosevelt\n' 'A Dwight D. Eisenhower\n' 'B Jimmy Carter\n'
 'C Franklin Roosevelt\n' 'D Ronald Reagan\n']"
"#Q In 1996, TWA Flight 800 exploded and crashed into the Atlantic Ocean shortly after take off, killing all 230 aboard.  The flight was bound from New York to what popular European destination?
",Paris,"['#Q In 1996, TWA Flight 800 exploded and crashed into the Atlantic Ocean shortly after take off, killing all 230 aboard.  The flight was bound from New York to what popular European destination?\n'
 '^ Paris\n' 'A Paris\n' 'B Vienna\n' 'C Athens\n' 'D London\n']"
"#Q Which country transferred sovereignty of Hong Kong to China in 1997?
",Great Britain,"['#Q Which country transferred sovereignty of Hong Kong to China in 1997?\n'
 '^ Great Britain\n' 'A Japan\n' 'B France\n' 'C USA\n'
 'D Great Britain\n']"
