question,answer,qA
"#Q This famous outlaw was very friendly and most of his shooting was done in self defense. He became an outlaw after someone murdered his employer, Tunstall, whom he loved as a father. At Tunstalls funeral, this outlaw swore that he would kill every man who had been involved in the Tunstalls murder.
",Billy the Kid,"['#Q This famous outlaw was very friendly and most of his shooting was done in self defense. He became an outlaw after someone murdered his employer, Tunstall, whom he loved as a father. At Tunstalls funeral, this outlaw swore that he would kill every man who had been involved in the Tunstalls murder.\n'
 '^ Billy the Kid\n' 'A Jesse James\n' 'B Billy the Kid\n'
 'C Juan Flores\n' 'D Frank Jackson\n']"
"#Q While in charge of the guardhouse at San Carlos, this outlaw left his post to chase a man whom he considered responsible for his fathers death. When he came back, he argued with his superior and shot him in the leg. Arizona territorial legislature offered a $5,000 cash reward, but he was never captured.
",Apache Kid,"['#Q While in charge of the guardhouse at San Carlos, this outlaw left his post to chase a man whom he considered responsible for his fathers death. When he came back, he argued with his superior and shot him in the leg. Arizona territorial legislature offered a $5,000 cash reward, but he was never captured.\n'
 '^ Apache Kid\n' 'A Johnny Behind the Deuse\n' 'B Pearl Hart\n'
 'C Apache Kid\n' 'D Frank Jackson\n']"
"#Q His first crime was breaking into a store and taking a pair of pants, leaving a message that he would pay later.  He went on to steal cattle from farmers, and later robbed the San Miguel Valley Bank robbery in Telluride, escaping with $20,000.
",Butch Cassidy,"['#Q His first crime was breaking into a store and taking a pair of pants, leaving a message that he would pay later.  He went on to steal cattle from farmers, and later robbed the San Miguel Valley Bank robbery in Telluride, escaping with $20,000.\n'
 '^ Butch Cassidy\n' 'A Daniel Boone\n' 'B Pancho Villa\n'
 'C Butch Cassidy\n' 'D Buffalo Bill\n']"
"#Q Although this criminal, who acted with his brother, would rob banks and trains, he was a favourite of the press of his day. In various journalistic materials he was often presented as the contemporary Robin Hood. It was a fact that he preferred to rob rich people, but it was simply because they had more money.
",Jesse James,"['#Q Although this criminal, who acted with his brother, would rob banks and trains, he was a favourite of the press of his day. In various journalistic materials he was often presented as the contemporary Robin Hood. It was a fact that he preferred to rob rich people, but it was simply because they had more money.\n'
 '^ Jesse James\n' 'A Jesse James\n' 'B Bill Miner\n'
 'C Joaquin Murieta\n' 'D Jim Reed\n']"
"#Q After his father was killed, this man sought revenge. He joined Quantrills fighting force. It was reported that he often frothed at his mouth in his almost psychopathic rage in battles. Some sources say he had a silk string with knots for every shot Yankee.
",William Bloody Bill Anderson,"['#Q After his father was killed, this man sought revenge. He joined Quantrills fighting force. It was reported that he often frothed at his mouth in his almost psychopathic rage in battles. Some sources say he had a silk string with knots for every shot Yankee.\n'
 '^ William Bloody Bill Anderson\n' 'A Jim Murphy\n' 'B Billy the Kid\n'
 'C William Bloody Bill Anderson\n' 'D Sundance Kid\n']"
"#Q This man was known as the Mexican Robin Hood. He set up a band of 5 members, all with the same first name. His band is credited with stealing more than $100,000 in gold and over 100 horses.
",Joaquin Murietta,"['#Q This man was known as the Mexican Robin Hood. He set up a band of 5 members, all with the same first name. His band is credited with stealing more than $100,000 in gold and over 100 horses.\n'
 '^ Joaquin Murietta\n' 'A Belle Star\n' 'B Nathaniel Reed Texas Jack\n'
 'C George Newcomb Bitter Creek\n' 'D Joaquin Murietta\n']"
"#Q This criminal was active during the Gold Rush. He was famous for leaving poems in the place of the gold that he had stolen. He never robbed valuables from the passengers of the stagecoaches, he preferred treasure boxes.
",Black Bart,"['#Q This criminal was active during the Gold Rush. He was famous for leaving poems in the place of the gold that he had stolen. He never robbed valuables from the passengers of the stagecoaches, he preferred treasure boxes.\n'
 '^ Black Bart\n' 'A Henry Clay White\n' 'B Cyrus Skinner\n'
 'C Bob Younger\n' 'D Black Bart\n']"
"#Q This man was nicknamed the King of the Cowboys after he took part in the gun fight at the OK Corral in Tombstone, Arizona. When in 1879 he went West in Arizona, he achieved still more infamy, as the main antagonist of Wyatt Earp.
",Johnny Ringo,"['#Q This man was nicknamed the King of the Cowboys after he took part in the gun fight at the OK Corral in Tombstone, Arizona. When in 1879 he went West in Arizona, he achieved still more infamy, as the main antagonist of Wyatt Earp.\n'
 '^ Johnny Ringo\n' 'A Johnny Ringo\n' 'B Tom Starr Uncle Tom\n'
 'C Jim Murphy\n' 'D Lee H. Musgrove\n']"
"#Q In August of 2005, a Category 4  hurricane devastated the Gulf coast of the U.S.,  leaving much of the city of New Orleans flooded and without power.  Name the hurricane responsible for this widespread swath of destruction.
",Katrina,"['#Q In August of 2005, a Category 4  hurricane devastated the Gulf coast of the U.S.,  leaving much of the city of New Orleans flooded and without power.  Name the hurricane responsible for this widespread swath of destruction.\n'
 '^ Katrina\n' 'A Rita\n' 'B Louise\n' 'C Katrina\n' 'D Isabella\n']"
"#Q On May 22, 1987, a multiple vortex tornado devastated this small Texas town.
",Saragosa,"['#Q On May 22, 1987, a multiple vortex tornado devastated this small Texas town.\n'
 '^ Saragosa\n' 'A Saragosa\n' 'B Texarcico\n' 'C Northumberland\n'
 'D Zeetop\n']"
"#Q The towns of Dana, Enfield, Greenwich, and Prescott, Massachusetts were all disincorporated on April 28, 1938, because of the following.
",The land was needed for a large reservoir.,"['#Q The towns of Dana, Enfield, Greenwich, and Prescott, Massachusetts were all disincorporated on April 28, 1938, because of the following.\n'
 '^ The land was needed for a large reservoir.\n'
 'A It was agreed upon by a consensus of the 4 towns populace, to disincorporate due to flagging economic conditions.\n'
 'B All 4 towns were destroyed in a massive fire, and the area was rebuilt as a distant suburb of Boston.\n'
 'C The land was needed for a large reservoir.\n'
 'D A major railroad  company secured rights to the land and built a rail line through the heart of all 4 towns.\n']"
"#Q Jonestown, Guyana, home to the Peoples Temple religious cult,  was virtually wiped off the map in November of 1978, when the cult leader induced 900 of his followers to drink cyanide laced Kool - Aid.  What was this cult leaders name?
",Rev. Jim Jones,"['#Q Jonestown, Guyana, home to the Peoples Temple religious cult,  was virtually wiped off the map in November of 1978, when the cult leader induced 900 of his followers to drink cyanide laced Kool - Aid.  What was this cult leaders name?\n'
 '^ Rev. Jim Jones\n' 'A Rev Dr. Parker Smalling\n'
 'B Rev. Alloyuishius Gant\n' 'C Rev. Jim Jones\n'
 'D Rev. Donald Dunforth\n']"
"#Q Muscogee, Florida was once a thriving village located 20 miles NW of Pensacola, Florida.  It was founded in 1857, yet by 1928 it was all but abandoned.  What was the cause of this towns demise?
","It was a lumber mill town, and in 1928, the mills were sold.","['#Q Muscogee, Florida was once a thriving village located 20 miles NW of Pensacola, Florida.  It was founded in 1857, yet by 1928 it was all but abandoned.  What was the cause of this towns demise?\n'
 '^ It was a lumber mill town, and in 1928, the mills were sold.\n'
 'A It was a haven for circus performers until 1925, when the circus left for Sarasota, and the performers followed.\n'
 'B It was a lumber mill town, and in 1928, the mills were sold.\n'
 'C It was a town largely dependent on the fishing industry, which experienced an economic downturn in the early 1920s.\n'
 'D It was flooded to make way for a canal which is part of the Inter - Coastal Waterway.\n']"
"#Q Sinepuxent, a town on the eastern shore of Maryland, was destroyed by a tornado in 1818, and never rebuilt.
",False,"['#Q Sinepuxent, a town on the eastern shore of Maryland, was destroyed by a tornado in 1818, and never rebuilt.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q Napoleon, Arkansas, a once thriving river town situated near the confluence of the Arkansas and Mississippi rivers, was flooded by the two rivers, but was successfully rebuilt.\n']"
"#Q Napoleon, Arkansas, a once thriving river town situated near the confluence of the Arkansas and Mississippi rivers, was flooded by the two rivers, but was successfully rebuilt.
",No,"['#Q Napoleon, Arkansas, a once thriving river town situated near the confluence of the Arkansas and Mississippi rivers, was flooded by the two rivers, but was successfully rebuilt.\n'
 '^ No\n' 'A Yes\n' 'B No\n' '\n'
 '#Q New Burlington, Ohio was once a community located in NW Clinton County, Ohio.  It was flooded when the U.S. Government  flooded Caesar Creek in order to construct a reservoir.  When did this take place?\n']"
"#Q New Burlington, Ohio was once a community located in NW Clinton County, Ohio.  It was flooded when the U.S. Government  flooded Caesar Creek in order to construct a reservoir.  When did this take place?
",1970s,"['#Q New Burlington, Ohio was once a community located in NW Clinton County, Ohio.  It was flooded when the U.S. Government  flooded Caesar Creek in order to construct a reservoir.  When did this take place?\n'
 '^ 1970s\n' 'A 1960s\n' 'B Late 1880s\n' 'C 1970s\n' 'D 1930s\n']"
"#Q Achilles, Kansas was a thriving town whose heyday ran from the 1870s to approximately 1915.   By the year 1930, it was all but defunct.  What was responsible for this towns demise?
",It was bypassed by the railroad.,"['#Q Achilles, Kansas was a thriving town whose heyday ran from the 1870s to approximately 1915.   By the year 1930, it was all but defunct.  What was responsible for this towns demise?\n'
 '^ It was bypassed by the railroad.\n'
 'A It became one of the casualties of The Great Depression.\n'
 'B It was largely devastated by a tornado in late 1915, and never recovered economically.\n'
 'C It was bypassed by the railroad.\n'
 'D It was requisitioned by the U.S. Army Corp. of Engineers, and slated to be flooded  in 1930.\n']"
"#Q In 1988, this talk show host once brought out 67 pound of animal fat to show how much weight they lost.
",Oprah Winfrey,"['#Q In 1988, this talk show host once brought out 67 pound of animal fat to show how much weight they lost.\n'
 '^ Oprah Winfrey\n' 'A Oprah Winfrey\n' 'B Johnny Carson\n'
 'C David Letterman\n' 'D Rikki Lake\n']"
"#Q This musician sang about an Uptown Girl in 1983.
",Billy Joel,"['#Q This musician sang about an Uptown Girl in 1983.\n' '^ Billy Joel\n'
 'A Bryan Adams\n' 'B Paul Simon\n' 'C Elton John\n' 'D Billy Joel\n']"
"#Q Mr. Rogers, from the childrens television show Mr. Rogers Neighborhood, once donated a sweater his mother made him to the Smithsonian National Museum of American History.
",True,"['#Q Mr. Rogers, from the childrens television show Mr. Rogers Neighborhood, once donated a sweater his mother made him to the Smithsonian National Museum of American History.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Amy Carter, daughter of former president Jimmy Carter, was arrested in 1987 for protesting against campus CIA recruitment.\n']"
"#Q Amy Carter, daughter of former president Jimmy Carter, was arrested in 1987 for protesting against campus CIA recruitment.
",True,"['#Q Amy Carter, daughter of former president Jimmy Carter, was arrested in 1987 for protesting against campus CIA recruitment.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q This group is known for their 1984 song Were Not Gonna Take It.\n']"
"#Q This group is known for their 1984 song Were Not Gonna Take It.
",Twisted Sister,"['#Q This group is known for their 1984 song Were Not Gonna Take It.\n'
 '^ Twisted Sister\n' 'A Quiet Riot\n' 'B Ratt\n' 'C Rough Cutt\n'
 'D Twisted Sister\n']"
"#Q What term did hippies use to refer to the institutions and structures they rejected?
",The Establishment,"['#Q What term did hippies use to refer to the institutions and structures they rejected?\n'
 '^ The Establishment\n' 'A The Power\n' 'B The System\n' 'C The Reign\n'
 'D The Establishment\n']"
"#Q The term Summer of Love, associated with the hippie counterculture movement, refers to the summer of what year?
",1967,"['#Q The term Summer of Love, associated with the hippie counterculture movement, refers to the summer of what year?\n'
 '^ 1967\n' 'A 1965\n' 'B 1971\n' 'C 1970\n' 'D 1967\n']"
"#Q Which of these artists did not participate in the Woodstock festival, an event regarded as the high point of the hippie movement?
",Bob Dylan,"['#Q Which of these artists did not participate in the Woodstock festival, an event regarded as the high point of the hippie movement?\n'
 '^ Bob Dylan\n' 'A Jimi Hendrix\n' 'B Bob Dylan\n' 'C Joe Cocker\n'
 'D Janis Joplin\n']"
